,0,1
122,11.0,-7431.065831124783
123,11.0,-7436.782079875469
124,11.0,-7431.644971013069
125,11.0,-7422.946788907051
126,11.0,-7461.2649574279785
127,11.0,-7454.79135030508
128,11.0,-7441.262155711651
129,11.0,-7419.0161027908325
130,11.0,-7414.964795053005
131,11.0,-7413.158140420914
132,12.0,-6453.279789030552
133,12.0,-6451.583621740341
134,12.0,-6471.81102091074
135,12.0,-6478.270634055138
136,12.0,-6452.1541284918785
137,12.0,-6455.926203072071
138,12.0,-6438.191595315933
139,12.0,-6455.6870376467705
140,12.0,-6435.753661334515
141,12.0,-6461.695235013962
142,12.0,-6445.078590750694
143,12.0,-6460.83811545372
144,13.0,-5057.090924501419
145,13.0,-5064.6874151825905
146,13.0,-5041.947415590286
147,13.0,-5041.29108440876
148,13.0,-5049.9405853152275
149,13.0,-5068.426999270916
150,13.0,-5056.115588366985
151,13.0,-5038.5547198057175
152,13.0,-5049.250433266163
153,13.0,-5038.681208312511
154,13.0,-5054.074285149574
155,13.0,-5054.821283936501
156,14.0,-4343.686473786831
157,14.0,-4351.619971513748
158,14.0,-4351.688239097595
159,14.0,-4345.395301997662
160,14.0,-4354.458184957504
161,14.0,-4333.186441779137
162,14.0,-4347.357643663883
163,14.0,-4351.212080836296
164,14.0,-4352.528080761433
165,14.0,-4344.724540531635
166,14.0,-4355.141084313393
167,14.0,-4341.553050100803
168,15.0,-7301.324880957603
169,15.0,-7278.460833668709
170,15.0,-7299.275872647762
171,15.0,-7282.510096669197
172,15.0,-7273.5829701423645
173,15.0,-7264.1535829901695
174,15.0,-7280.842240095139
175,15.0,-7312.119233548641
176,15.0,-7282.01539093256
177,15.0,-7269.183043181896
178,15.0,-7280.370678246021
179,15.0,-7307.261721730232
180,16.0,-9952.185619473457
181,16.0,-9940.584990382195
182,16.0,-9947.996456027031
183,16.0,-9954.882162213326
184,16.0,-9957.081534266472
185,16.0,-9965.271796286106
186,16.0,-9956.346575915813
187,16.0,-9945.476307868958
188,16.0,-9935.738582015038
189,16.0,-9951.259394586086
190,16.0,-9945.789758861065
191,16.0,-9949.75094974041
192,17.0,-26403.275609254837
193,17.0,-26423.117488265038
194,17.0,-26407.77294063568
195,17.0,-26407.731463849545
196,17.0,-26416.798684239388
197,17.0,-26422.036999702454
198,17.0,-26432.687520623207
199,17.0,-26434.5732524395
200,17.0,-26414.02851188183
201,17.0,-26416.151211500168
202,17.0,-26404.42638629675
203,17.0,-26439.890418291092
204,18.0,-11098.74969893694
205,18.0,-11112.904622495174
206,18.0,-11085.843243539333
207,18.0,-11105.469704508781
208,18.0,-11104.15703767538
209,18.0,-11110.841552257538
210,18.0,-11068.934396743774
211,18.0,-11072.54936003685
212,18.0,-11104.963644981384
213,18.0,-11115.209784448147
214,18.0,-11095.386829316616
