,0,1
133,12.0,-6377.057759404182
134,12.0,-6396.001541852951
135,12.0,-6394.526314377785
136,12.0,-6407.412881195545
137,12.0,-6405.159998178482
138,12.0,-6399.701988935471
139,12.0,-6381.456339001656
140,12.0,-6401.720367312431
141,12.0,-6410.780786216259
142,12.0,-6410.151438951492
143,12.0,-6414.568973720074
144,13.0,-5014.9727435112
145,13.0,-4983.342606842518
146,13.0,-5004.539549469948
147,13.0,-4990.93675416708
148,13.0,-5001.456580877304
149,13.0,-5014.561609148979
150,13.0,-5000.141406178474
151,13.0,-5008.889905631542
152,13.0,-5009.602628469467
153,13.0,-5006.792798161507
154,13.0,-5008.257316470146
155,13.0,-5026.973892569542
156,14.0,-4319.018496096134
157,14.0,-4330.949540257454
158,14.0,-4324.641486227512
159,14.0,-4316.88370269537
160,14.0,-4308.83988660574
161,14.0,-4322.753192305565
162,14.0,-4300.011822104454
163,14.0,-4316.0439531207085
164,14.0,-4322.454933345318
165,14.0,-4325.276633322239
166,14.0,-4310.513660132885
167,14.0,-4330.271778225899
168,15.0,-7240.933989226818
169,15.0,-7237.83632838726
170,15.0,-21141.73078475754
171,15.0,-7230.780071258545
172,15.0,-7253.062413573265
173,15.0,-7252.476231098175
174,15.0,-7227.035602867603
175,15.0,-7227.660473525524
176,15.0,-7233.571175277233
177,15.0,-7236.298724353313
178,15.0,-7242.851792812347
179,15.0,-7237.269363939762
180,16.0,-9911.366877555847
181,16.0,-9894.098310768604
182,16.0,-9899.966295659542
183,16.0,-9894.286752939224
184,16.0,-9881.059093177319
185,16.0,-9906.760884523392
186,16.0,-9895.863059461117
187,16.0,-9913.824338018894
188,16.0,-9903.396796286106
189,16.0,-9901.044914722443
190,16.0,-9918.116727173328
191,16.0,-9890.681225657463
192,17.0,-26345.334661069443
193,17.0,-26365.9424845041
194,17.0,-26344.00488862222
195,17.0,-26340.63646344986
196,17.0,-26329.52382667033
197,17.0,-26313.310621439992
198,17.0,-26364.27207383757
199,17.0,-26343.520449509255
200,17.0,-26351.39924253407
201,17.0,-26341.018325553418
202,17.0,-26319.848303096267
203,17.0,-26358.300050425027
204,18.0,-10992.733865916729
205,18.0,-10990.72463208437
206,18.0,-10998.762469530106
207,18.0,-11006.093069255352
208,18.0,-24876.558054096648
209,18.0,-11008.306145608425
210,18.0,-24906.934667197096
211,18.0,-10997.919336795807
212,18.0,-11019.360839664936
213,18.0,-24904.830066044444
214,18.0,-10996.132882773876
215,18.0,-11030.60366922617
216,19.0,-12395.836228728294
217,19.0,-12400.250568985939
218,19.0,-12410.233794748783
219,19.0,-26274.418876306514
220,19.0,-26285.648774316855
221,19.0,-12424.216141402721
222,19.0,-12382.740707993507
223,19.0,-12422.814536094666
224,19.0,-26269.875529074965
225,19.0,-26265.716520255795
226,19.0,-12424.314780533314
227,19.0,-26295.252223054988
228,20.0,-26353.128906793725
229,20.0,-26324.259247279842
230,20.0,-26366.84205683109
231,20.0,-26341.01266496987
232,20.0,-26356.559244607204
233,20.0,-26326.4473564685
234,20.0,-40240.46730510739
235,20.0,-40215.12611452241
236,20.0,-40223.20446274689
237,20.0,-26373.51031806496
